id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,version
,Activin_ligand_ab,ACVR_1C2B_receptor,,,curated,PMID:22710174;PMID:22991378,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q15848,ADR_complex,ADIPO_HUMAN,,curated,reactome,True,LGarciaAlonso,,R-HSA-8848663,,,,CellPhoneDBcore<=4.1
,Q7Z4H4,RAMP2_complex,ADM2_HUMAN,,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Q7Z4H4,RAMP3_complex,ADM2_HUMAN,,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P35318,RAMP3_complex,ADML_HUMAN,,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P35318,O60896,ADML_HUMAN,RAMP3_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,O00468,LRP4_MUSK_complex,AGRIN_HUMAN,,curated,reactome,True,LGarciaAlonso,,R-HSA-2467633,,,,CellPhoneDBcore<=4.1
,O00468,P13591,AGRIN_HUMAN,NCAM1_HUMAN,curated,reactome,True,LGarciaAlonso,,R-HSA-2467659,,,,CellPhoneDBcore<=4.1
,O00468,Q13332,AGRIN_HUMAN,PTPRS_HUMAN,curated,reactome,True,LGarciaAlonso,,R-HSA-2467659,,,,CellPhoneDBcore<=4.1
,O00253,P41968,AGRP_HUMAN,MC3R_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,O00253,P32245,AGRP_HUMAN,MC4R_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P02768,FcRn_complex,ALBU_HUMAN,,curated,PDB:4n0;PDB:4k7,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,AldosteroneCorticosterone_byCYP11B2,P04150,,GCR_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,AldosteroneCorticosterone_byCYP11B2,P08235,,MCR_HUMAN,curated,HMRbase;uniprot,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P30533,Q99523,AMRP_HUMAN,SORT_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Androstenedione_byCYP17A1,P10275,,ANDR_HUMAN,curated,HMRbase;reactome,False,LGarciaAlonso,R-HSA-5618087,,,,,CellPhoneDBcore<=4.1
,Androsterone_byHSD17B6,Q96RI1,,NR1H4_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P01160,P16066,ANF_HUMAN,ANPRA_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Q15389,Q02763,ANGP1_HUMAN,TIE2_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O15123,Q02763,ANGP2_HUMAN,TIE2_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q9Y264,Q02763,ANGP4_HUMAN,TIE2_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P01019,P30556,ANGT_HUMAN,AGTR1_HUMAN,curated,uniprot,True,LGarciaAlonso,R-HSA-389873,,,,,CellPhoneDBcore<=4.1
,P01019,P50052,ANGT_HUMAN,AGTR2_HUMAN,curated,uniprot,True,LGarciaAlonso,R-HSA-389873,,,,,CellPhoneDBcore<=4.1
,P04083,P25090,ANXA1_HUMAN,FPR2_HUMAN,curated,PMID:22610094;reactome,True,RVentoTormo,R-HSA-416459,,,,,CellPhoneDBcore<=4.1
,P04083,P25089,ANXA1_HUMAN,FPR3_HUMAN,curated,reactome,True,LGarciaAlonso,R-HSA-444847,R-HSA-444476,,,,CellPhoneDBcore<=4.1
,Q9ULZ1,P35414,APEL_HUMAN,APJ_HUMAN,curated,uniprot,True,LGarciaAlonso,R-HSA-374316,,,,,CellPhoneDBcore<=4.1
,P02647,O95477,APOA1_HUMAN,ABCA1_HUMAN,curated,reactome,True,LGarciaAlonso,,R-HSA-216727,,,,CellPhoneDBcore<=4.1
,P02647,CUBN_AMN_complex,APOA1_HUMAN,,curated,reactome,True,LGarciaAlonso,,R-HSA-264848,,,,CellPhoneDBcore<=4.1
,P02647,TREM2_receptor,APOA1_HUMAN,,curated,uniprot;PMID:27477018,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P02652,TREM2_receptor,APOA2_HUMAN,,curated,uniprot;PMID:27477017,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P04114,Q0VD83,APOB_HUMAN,APOBR_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P04114,TREM2_receptor,APOB_HUMAN,,curated,uniprot;PMID:27477016,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P02649,TREM2_receptor,APOE_HUMAN,,curated,uniprot;PMID:27477015,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P15514,P00533,AREG_HUMAN,EGFR_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q5T4W7,RET_receptor_1,ARTN_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q5T4W7,RET_receptor_3,ARTN_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P42127,Q01726,ASIP_HUMAN,MSHR_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A1,RAreceptor_RARA,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A1,RAreceptor_RARA_RXRA,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A1,RAreceptor_RARB,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A1,RAreceptor_RARB_RXRB,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A1,RAreceptor_RARG,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A1,RAreceptor_RARG_RXRG,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A1,RAreceptor_RXRA,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A1,RAreceptor_RXRB,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A1,RAreceptor_RXRG,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A1,Q92753,,RORB_HUMAN,curated,uniprot,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A2,RAreceptor_RARA,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A2,RAreceptor_RARA_RXRA,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A2,RAreceptor_RARB,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A2,RAreceptor_RARB_RXRB,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A2,RAreceptor_RARG,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A2,RAreceptor_RARG_RXRG,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A2,RAreceptor_RXRA,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A2,RAreceptor_RXRB,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A2,RAreceptor_RXRG,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A2,Q92753,,RORB_HUMAN,curated,uniprot,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A3,RAreceptor_RARA,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A3,RAreceptor_RARA_RXRA,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A3,RAreceptor_RARB,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A3,RAreceptor_RARB_RXRB,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A3,RAreceptor_RARG,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A3,RAreceptor_RARG_RXRG,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A3,RAreceptor_RXRA,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A3,RAreceptor_RXRB,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A3,RAreceptor_RXRG,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,atRetinoicAcid_byALDH1A3,Q92753,,RORB_HUMAN,curated,uniprot,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P46379,O14931,BAG6_HUMAN,NCTR3_HUMAN,curated,activating_interaction_from_uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P23560,Q16620,BDNF_HUMAN,NTRK2_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P23560,Q99523,BDNF_HUMAN,SORT_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P23560,P08138,BDNF_HUMAN,TNR16_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O95393,ACVL1_ACVR2A,BMP10_HUMAN,,curated,PMID:25136781,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,O95393,ACVL1_BMPR2,BMP10_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O95972,BMPR1B_BMPR2,BMP15_HUMAN,,curated,PMID:22710174;PMID:12419820,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12643,BMPR1A_BMPR2,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12643,BMPR1B_BMPR2,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12643,BMR1A_ACR2A,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12643,BMR1A_AVR2B,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12643,BMR1B_AVR2A,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12643,BMR1B_AVR2B,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12644,BMPR1A_BMPR2,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12644,BMPR1B_BMPR2,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12644,BMR1A_ACR2A,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12644,BMR1A_AVR2B,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12644,BMR1B_AVR2A,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12644,BMR1B_AVR2B,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22003,ACVR_1A2A_receptor,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22003,ACVR_1A2B_receptor,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22003,ACVR1_BMPR2,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22003,BMPR1A_BMPR2,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22003,BMPR1B_BMPR2,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22003,BMR1A_ACR2A,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22003,BMR1A_AVR2B,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22003,BMR1B_AVR2A,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22003,BMR1B_AVR2B,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22004,ACVR_1A2A_receptor,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22004,ACVR_1A2B_receptor,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22004,ACVR1_BMPR2,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22004,BMPR1A_BMPR2,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22004,BMPR1B_BMPR2,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22004,BMR1A_ACR2A,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22004,BMR1A_AVR2B,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22004,BMR1B_AVR2A,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P22004,BMR1B_AVR2B,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P18075,ACVR_1A2A_receptor,BMP7_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P18075,ACVR_1A2B_receptor,BMP7_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P18075,ACVR1_BMPR2,BMP7_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P18075,BMPR1A_BMPR2,BMP7_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P18075,BMPR1B_BMPR2,BMP7_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P18075,BMR1A_ACR2A,BMP7_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P18075,BMR1A_AVR2B,BMP7_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P18075,BMR1B_AVR2A,BMP7_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P18075,BMR1B_AVR2B,BMP7_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q7Z5Y6,ACVR_1A2A_receptor,BMP8A_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q7Z5Y6,ACVR_1A2B_receptor,BMP8A_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q7Z5Y6,ACVR1_BMPR2,BMP8A_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q7Z5Y6,BMPR1A_BMPR2,BMP8A_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q7Z5Y6,BMPR1B_BMPR2,BMP8A_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q7Z5Y6,BMR1A_ACR2A,BMP8A_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q7Z5Y6,BMR1A_AVR2B,BMP8A_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q7Z5Y6,BMR1B_AVR2A,BMP8A_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q7Z5Y6,BMR1B_AVR2B,BMP8A_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,BMP9_BMP15,BMPR1B_BMPR2_ACVR1B,,,curated,PMID:1218020110,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,BMPR1B_BMPR2,P36894,,BMR1A_HUMAN,curated,3evs;_PDB_complex_higher_affinity,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q10589,P59901,BST2_HUMAN,LIRA4_HUMAN,curated,PMID:19564354,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P35070,Q15303,BTC_HUMAN,ERBB4_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P35070,P00533,BTC_HUMAN,EGFR_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P35070,P21860,BTC_HUMAN,ERBB3_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q7Z6A9,Q92956,BTLA_HUMAN,TNR14_HUMAN,curated,PMID:31204070;uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,O95971,Q92956,BY55_HUMAN,TNR14_HUMAN,curated,PMID:21959263,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12830,integrin_a2b1_complex,CADH1_HUMAN,,curated,PMID:12392763,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12830,integrin_aEb7_complex,CADH1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P12830,Q96E93,CADH1_HUMAN,KLRG1_HUMAN,curated,PMC3030123,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P19022,P19022,CADH2_HUMAN,CADH2_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P22223,P22223,CADH3_HUMAN,CADH3_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P33151,P33151,CADH5_HUMAN,CADH5_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P55285,P55285,CADH6_HUMAN,CADH6_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Q9ULB5,Q9ULB5,CADH7_HUMAN,CADH7_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Q9BY67,Q9BY67,CADM1_HUMAN,CADM1_HUMAN,curated,PMID:24503895,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q9BY67,Q9NQS3,CADM1_HUMAN,PVRL3_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
